,pearson,spearman,mutual_info
precip_roll7,0.3994771576448547,0.4120187258639855,0.20674960832817835
cloud_mean_pct,0.3981160740913205,0.45035477158669207,0.16236136115883504
press_mean_hPa,-0.3403626091036191,-0.4894386318208585,0.13839554200868154
rh_mean_pct,0.3834922573561058,0.43860102302059883,0.11437346025878181
precip_lag_1,0.2088739085319643,0.3981862028810863,0.086212183104875
wind_dir_deg,-0.13323006978175564,0.03437489267419397,0.06750236765292428
wind_mean_ms,0.3521576276554646,0.3550806154480988,0.06652493521747171
dew_point_C,0.2324657136016025,0.24358598254106037,0.054215116845913514
temp_mean_lag_1,0.0741150849009603,0.0672782198598451,0.04911028215258284
temp_min_C,0.15353312358580912,0.15623275428820035,0.02768130678110392
temp_max_C,0.006373712187032706,-0.003618733099172255,0.026167769733332236
month_sin,-0.023303556623061248,-0.09331517254177042,0.025830640701078877
temp_mean_C,0.07976104082940573,0.0718514056610649,0.019465421797949745
month_cos,-0.012368567556582643,-0.011056373654090951,0.011245929132210453
month,0.005859828196839061,0.07413349043669422,0.010495895513848552
lon,,,0.0031418782476704266
precip_lag_3,0.004842578251881394,0.05928994730577659,0.0
lat,,,0.0
