,pearson,spearman,mutual_info
precip_roll7,0.3930870607185387,0.39447387098680836,0.20004346058997946
cloud_mean_pct,0.32414566449975,0.4485250839820098,0.1629857884271031
precip_lag_1,0.2076908940996955,0.34773123380243376,0.09573242046482111
press_mean_hPa,-0.33724313377526266,-0.37989151196322124,0.07928789898337385
wind_mean_ms,0.17417322002657099,0.3436885147163665,0.07878833362009807
wind_dir_deg,0.07630533815830742,0.26661398320671,0.05183303040318776
temp_min_C,0.0760027337133158,-0.02253745189227552,0.03942217992589381
rh_mean_pct,0.2164041891837232,0.2281296346281739,0.03770479405640792
temp_mean_C,0.012093192733755817,-0.12481961097676873,0.03473894591497295
temp_max_C,-0.006027111185959705,-0.18321665276784724,0.0271313824647077
dew_point_C,0.16533327632088818,-0.016862520385069964,0.026182956255166978
month_cos,0.026037818966234395,-0.08691970175672915,0.021974409369128978
temp_mean_lag_1,0.11241652162337752,-0.001783049356013461,0.02189353202527311
month,0.05598131609725422,0.10965859775637034,0.020128315920217688
month_sin,-0.05422523958587174,-0.1416490368393334,0.01977568560702725
precip_lag_3,-0.009038045135412879,0.03475950624949893,0.010627043556808324
lat,,,0.0
lon,,,0.0
