,pearson,spearman,mutual_info
rh_mean_pct,0.47720349383886057,0.7025357570423941,0.3722913797367946
dew_point_C,0.35154481262891685,0.7071978082000907,0.3471243055607607
precip_roll7,0.5058867510534751,0.6194377615957417,0.33130129493371285
cloud_mean_pct,0.4927125565492419,0.6934884637728118,0.32665517598764904
month,-0.0636165250811451,-0.08349662622893932,0.17494504669060795
precip_lag_1,0.330652088634366,0.5836451577462657,0.15719846299731355
temp_min_C,0.21440845628820757,0.4669979069334821,0.15112547521693287
temp_mean_C,0.03761655510138038,0.22580385253138902,0.1153856471101129
month_cos,0.23715517029094704,0.47858144281652903,0.10844244886047871
temp_mean_lag_1,0.14619557047082044,0.33500736490754224,0.09159751391735238
temp_max_C,-0.08693531908074123,0.07053306312901288,0.057408088621718534
precip_lag_3,0.14549799101385155,0.3751669355349561,0.051318315643643864
press_mean_hPa,-0.1767908470629809,-0.23609186362500742,0.04509252695211874
month_sin,0.14439893617919203,0.21800138109786144,0.032156783251976684
wind_dir_deg,-0.15645847028579818,-0.186774777572642,0.010306290335007517
wind_mean_ms,0.03987514666349642,0.050670024545829986,0.003773853553976636
lat,,,0.000548170450148433
lon,,,0.0005479452054757417
