,pearson,spearman,mutual_info
rh_mean_pct,0.574489305798993,0.8138206966363333,0.5343639584641702
precip_roll7,0.5683750049565669,0.6593960508452121,0.31318184921333625
dew_point_C,0.3495578031671726,0.5653791519406858,0.31243542786071377
temp_mean_C,-0.5343949749793722,-0.6243456098744578,0.25316265889498357
precip_lag_1,0.32196228599558513,0.5567059879323943,0.21630336479086054
cloud_mean_pct,0.4062251770435821,0.5325511341695885,0.19783238933786595
temp_max_C,-0.43678477377088715,-0.5211676587315582,0.16350635525363177
month,-0.14737805098166015,-0.20048810903471592,0.1502110352011523
precip_lag_3,0.2003965273220818,0.3971388490840817,0.09731455165873282
month_sin,0.27018295267255993,0.3564142902434695,0.07622734808577736
wind_mean_ms,-0.11629108691226091,-0.28040331441083427,0.07396464669715819
wind_dir_deg,0.24624665947324076,0.3245010836584288,0.06445721176409425
temp_mean_lag_1,-0.27274847403446784,-0.35863057196653325,0.061857402508061377
temp_min_C,-0.07385957091836325,-0.04229203582521793,0.05179019910567728
month_cos,0.24817789704693624,0.33277380039559906,0.04077474328701847
press_mean_hPa,0.0073047120746827215,-0.0496856921892663,0.006357072880432746
lon,,,0.0006849315068446771
lat,,,0.0
