,pearson,spearman,mutual_info
precip_roll7,0.4223325318854191,0.4227076725481503,0.182745872707196
press_mean_hPa,-0.3334323816564234,-0.5287213466329279,0.1736322059960047
cloud_mean_pct,0.29640705837490744,0.4480631199176435,0.13707323531118654
rh_mean_pct,0.2976438220736149,0.4097124164063492,0.114740322105094
precip_lag_1,0.23773811247262208,0.36417757172791426,0.07948091446916017
wind_mean_ms,0.19500250688107598,0.3181124684215075,0.047933517722378305
dew_point_C,0.15963234361382744,0.11244234700969395,0.04412004483572929
temp_max_C,0.04305026090151925,-0.041029553521025275,0.037780062135845505
wind_dir_deg,-0.07795477267901546,0.018202126292743717,0.027622937830797056
temp_mean_C,0.07102375930740377,-0.001638522765868554,0.02425124324144523
month_sin,-0.04574550740380273,-0.0013943031078907926,0.021232183937381244
temp_min_C,0.11888493845475766,0.06183122346592783,0.014451669409488943
month_cos,-0.06209594420346897,0.022722280063374175,0.010074540782079033
lon,,,0.0059072623900799925
temp_mean_lag_1,0.07930651890091288,-0.0033836549827019812,0.005370046112171067
lat,,,8.458373159925259e-05
precip_lag_3,0.0638028001179474,0.13614281991512256,0.0
month,0.03677076632446978,0.01917447812165592,0.0
