,pearson,spearman,mutual_info
precip_roll7,0.41556896707781815,0.49184704091283615,0.16531014519341714
cloud_mean_pct,0.1846775610938,0.3085784207663475,0.047317737908714186
temp_max_C,-0.12209266301425484,-0.2419793993390962,0.03787727386416151
month,-0.07211485808358872,-0.11033941264931646,0.029867754069677233
temp_mean_lag_1,-0.0781578921122921,-0.18982557274198314,0.02773909953818432
temp_mean_C,-0.10452712441410196,-0.21138729745989662,0.027577140283070456
press_mean_hPa,0.05159389155138301,0.17419529219375057,0.022547858165428813
dew_point_C,-0.03436739714410687,-0.14527898180564044,0.02199328896421804
temp_min_C,-0.06177505794441053,-0.1462703310067262,0.021493251840359662
month_cos,0.04563312536580682,0.16407202996246434,0.01946154891262175
month_sin,0.07622269341995645,0.15636561673146587,0.017856081966233006
rh_mean_pct,0.13721620404441928,0.1404545727503977,0.016668771401795013
wind_dir_deg,-0.06465037701208795,-0.025232385717048826,0.012101623306911335
precip_lag_1,0.2483890832190546,0.38410154992706497,0.01105549570858777
wind_mean_ms,0.09889626996248628,0.15579566440665113,0.010143508755835029
lon,,,0.0010385751461399195
lat,,,0.0002982300008014249
precip_lag_3,0.023394905417476224,0.15382338713649624,0.0
