,pearson,spearman,mutual_info
rh_mean_pct,0.5206770532734498,0.7787836140083861,0.5100999236765675
dew_point_C,0.49944634885768285,0.7947290140126925,0.500782422311981
precip_roll7,0.6385164870323288,0.6896575100380047,0.38534475612556474
precip_lag_1,0.46747880930403035,0.6669070417310828,0.26944387726088515
temp_min_C,0.3122447794439614,0.5238610809798374,0.16232112715985636
cloud_mean_pct,0.3209428734910824,0.4828430635426166,0.15749675657539708
precip_lag_3,0.2881878663373044,0.4501803650000616,0.13619293763167928
month,0.028713826051239226,0.11207067197830976,0.12413467950048584
temp_max_C,-0.23501061655877747,-0.3501055063211307,0.10599495640056134
temp_mean_C,-0.1318041531433117,-0.15707187280211632,0.08398070330216711
temp_mean_lag_1,-0.03435796067723482,-0.058022380477011304,0.08123780168339856
wind_dir_deg,0.017297750291407104,-0.12504557644588007,0.05953679786629529
wind_mean_ms,-0.18399854336671378,-0.1729844588573829,0.054315386973832425
press_mean_hPa,-0.19634066339635642,-0.18139767107504143,0.03980180294937341
month_sin,0.09969636558221592,0.08596298082078237,0.018865559748262317
month_cos,0.059367093645265934,0.09204576701756628,0.0122960311362732
lat,,,0.0008208301025587339
lon,,,0.0
