,pearson,spearman,mutual_info
precip_roll7,0.4438254569125479,0.48308322504245926,0.22712790865030819
press_mean_hPa,-0.4379682192129016,-0.5894457816545733,0.21133667234730247
cloud_mean_pct,0.3449081671047213,0.479579283031201,0.15872837204428514
rh_mean_pct,0.3076355027892075,0.3684341353369972,0.1271608319969717
wind_dir_deg,0.14652985684344863,0.2864373124393554,0.11399819288436497
wind_mean_ms,0.25928725375010714,0.38248300315656336,0.10875528838635784
precip_lag_1,0.20584261592647413,0.42487516231117567,0.08903701367431971
temp_max_C,-0.053308089212590504,-0.11395316146519768,0.06288649239546817
dew_point_C,0.15533733301409358,0.13583275760249772,0.04432522340566347
temp_mean_C,0.009718327539309627,-0.023860167382598767,0.03664542173313734
temp_min_C,0.10502510598173824,0.10618110397359026,0.03347048308046752
temp_mean_lag_1,0.030213297972984297,-0.011754793796456716,0.0266539166242179
precip_lag_3,0.10004904045497699,0.17642844201815008,0.024993274208653382
lon,,,0.015161994168941373
month,0.01581132637337698,-0.010259069931305084,0.003914490577821006
lat,,,0.0004109589041050299
month_cos,0.017031667407577614,0.04660847719506774,0.0
month_sin,0.002548315906702271,0.03433534324831265,0.0
