,pearson,spearman,mutual_info
precip_roll7,0.5273767567304116,0.6815824894452696,0.4052797812777973
cloud_mean_pct,0.44495753666767346,0.6351152522067554,0.29425751323914984
dew_point_C,0.32180899711059335,0.6421443860470398,0.2861962850695594
precip_lag_1,0.37698675281627136,0.6900066249708701,0.23509748355802085
rh_mean_pct,0.33300507189411893,0.5474148372797513,0.2273217094131974
month,0.03159098704159499,0.025978070106052208,0.20247410537229182
temp_min_C,0.17782571208171005,0.40990808563687153,0.1693702398797754
wind_dir_deg,-0.25944741842435204,-0.5279370108300527,0.15487038627145377
press_mean_hPa,-0.24720980465456352,-0.4638295441569357,0.13398585157605059
temp_mean_C,0.07872535949040067,0.23107805684895869,0.13174118360105425
temp_mean_lag_1,0.11920341137430027,0.27821901099751173,0.10993615308751448
precip_lag_3,0.12799402323793196,0.490850422595141,0.10585363410209503
temp_max_C,-0.008659630439668869,0.09324929654940507,0.09709493842185335
month_cos,-0.1860703704325989,-0.42251329594949316,0.09598234938894645
month_sin,-0.1707023575498116,-0.22789108150237203,0.04536911120095066
wind_mean_ms,2.4290544586248573e-05,-0.03006083588225137,0.005723985428428335
lat,,,0.0002746485838223123
lon,,,0.0
