,pearson,spearman,mutual_info
precip_roll7,0.5012897250293505,0.6840777445595644,0.42429083996919115
rh_mean_pct,0.32413022609425246,0.669154323770474,0.3323656622472946
cloud_mean_pct,0.33833383707464837,0.5711306447543875,0.262884051059749
temp_max_C,-0.38877653900961917,-0.6018352299973767,0.2618829445244195
precip_lag_1,0.23045122669331886,0.5546495690628479,0.2341925186071654
month,0.06291660776226869,0.14542055315047747,0.22159022172389609
temp_mean_C,-0.3468548400869643,-0.4265308771603249,0.16188919364462961
precip_lag_3,0.15320409231243232,0.4564418301561853,0.15716502617231587
month_cos,-0.23163258683078683,-0.46769781211251865,0.13986556958901897
temp_min_C,-0.15870305861323228,-0.10320190159387632,0.13771953219545185
dew_point_C,-0.010432147275573617,-0.04285357190416413,0.13458870542991175
temp_mean_lag_1,-0.2104295944708515,-0.2943570425736876,0.09365447485419409
press_mean_hPa,0.22729512814195438,0.3308108700594343,0.078685590569183
month_sin,-0.15474179632532847,-0.25499698113960667,0.06857189525869867
wind_mean_ms,-0.04046186639255189,0.0487563790214649,0.04085192653279002
wind_dir_deg,0.0061883102258504805,-0.0058442611382916836,0.024341577221837163
lat,,,0.0
lon,,,0.0
